,ID,Time,Type,Outcome,Tdate,Lower_insample,Upper_insample,Length_insample,Lower_gaussian,Upper_gaussian,Length_gaussian,Lower_joint,Upper_joint
0,West Germany,1960,Actual,2.284,1990.5,,,,,,,,
1,West Germany,1961,Actual,2.388,1990.5,,,,,,,,
2,West Germany,1962,Actual,2.527,1990.5,,,,,,,,
3,West Germany,1963,Actual,2.61,1990.5,,,,,,,,
4,West Germany,1964,Actual,2.806,1990.5,,,,,,,,
5,West Germany,1965,Actual,3.005,1990.5,,,,,,,,
6,West Germany,1966,Actual,3.168,1990.5,,,,,,,,
7,West Germany,1967,Actual,3.241,1990.5,,,,,,,,
8,West Germany,1968,Actual,3.571,1990.5,,,,,,,,
9,West Germany,1969,Actual,3.998,1990.5,,,,,,,,
10,West Germany,1970,Actual,4.367,1990.5,,,,,,,,
11,West Germany,1971,Actual,4.686,1990.5,,,,,,,,
12,West Germany,1972,Actual,5.055,1990.5,,,,,,,,
13,West Germany,1973,Actual,5.553,1990.5,,,,,,,,
14,West Germany,1974,Actual,6.074,1990.5,,,,,,,,
15,West Germany,1975,Actual,6.603,1990.5,,,,,,,,
16,West Germany,1976,Actual,7.367,1990.5,,,,,,,,
17,West Germany,1977,Actual,8.09,1990.5,,,,,,,,
18,West Germany,1978,Actual,8.928,1990.5,,,,,,,,
19,West Germany,1979,Actual,10.067,1990.5,,,,,,,,
20,West Germany,1980,Actual,11.083,1990.5,,,,,,,,
21,West Germany,1981,Actual,12.115,1990.5,,,,,,,,
22,West Germany,1982,Actual,12.761,1990.5,,,,,,,,
23,West Germany,1983,Actual,13.519,1990.5,,,,,,,,
24,West Germany,1984,Actual,14.481,1990.5,,,,,,,,
25,West Germany,1985,Actual,15.291,1990.5,,,,,,,,
26,West Germany,1986,Actual,15.998,1990.5,,,,,,,,
27,West Germany,1987,Actual,16.679,1990.5,,,,,,,,
28,West Germany,1988,Actual,17.786,1990.5,,,,,,,,
29,West Germany,1989,Actual,18.994,1990.5,,,,,,,,
30,West Germany,1990,Actual,20.465,1990.5,,,,,,,,
31,West Germany,1991,Actual,21.602,1990.5,17.025606708955603,25.12704502529287,8.101438316337266,16.06000281593884,25.92487156880067,9.864868752861828,8.864395197883868,31.174060852939768
32,West Germany,1992,Actual,22.154,1990.5,17.310266412080978,25.840615564365642,8.530349152284664,17.16115096998291,26.04400811704838,8.882857147065472,10.742795030690186,30.76039239166809
33,West Germany,1993,Actual,21.878,1990.5,17.5786957646043,26.27064194544153,8.691946180837228,17.448804659440555,26.408112694801204,8.95930803536065,10.498025303778318,30.377301264037786
34,West Germany,1994,Actual,22.371,1990.5,18.00906153931438,27.36916948225396,9.360107942939578,17.776325889425078,27.605827208543477,9.8295013191184,10.823952534071005,31.031432250603824
35,West Germany,1995,Actual,23.035,1990.5,18.28812815394761,28.377340634261433,10.089212480313822,17.81397692014433,28.761073914163617,10.947096994019287,11.095768676748785,31.934359071310524
36,West Germany,1996,Actual,23.742,1990.5,17.811674436596398,29.556549454789224,11.744875018192825,17.23648947150294,30.004657288666255,12.768167817163317,11.638637605280099,32.745936665192154
37,West Germany,1997,Actual,24.156,1990.5,18.572528600246823,30.84055979228501,12.268031192038187,18.350659804747924,30.991699690487664,12.64103988573974,12.626605929940037,32.677507036476484
38,West Germany,1998,Actual,24.931,1990.5,19.7184404913821,31.871011224150926,12.152570732768826,19.775466053233618,32.11465199890215,12.339185945668529,13.85467471314694,33.602776335509944
39,West Germany,1999,Actual,25.755,1990.5,19.372834877476194,33.223416526476306,13.850581649000112,18.952621609469297,33.55796553104974,14.605343921580442,13.903391849781713,34.57445835195638
40,West Germany,2000,Actual,26.943,1990.5,18.485703381661835,36.06793573343328,17.582232351771445,14.462938295734595,39.231742058145606,24.76880376241101,9.238983130969991,40.358636573676236
