index,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry
1,USA,1960,2.879,NA,9.693181038,43.79999924,NA,NA,NA,NA
1,USA,1961,2.929,1.075181961,9.444654465,NA,NA,NA,NA,NA
1,USA,1962,3.103,1.116070986,9.42932415,NA,NA,NA,NA,NA
1,USA,1963,3.227,1.214128017,9.470705986,NA,NA,NA,NA,NA
1,USA,1964,3.42,1.308614969,9.725878716,NA,NA,NA,NA,NA
1,USA,1965,3.667,1.668460965,9.73034668,43.79999924,NA,NA,NA,NA
1,USA,1966,3.974,2.990999937,10.09759235,NA,NA,NA,NA,NA
1,USA,1967,4.154,2.775635958,10.20810223,NA,NA,NA,NA,NA
1,USA,1968,4.494,4.217720985,10.59393692,NA,NA,NA,NA,NA
1,USA,1969,4.805,5.414700985,10.63563347,NA,NA,NA,NA,NA
1,USA,1970,4.999,5.895296097,11.38864136,44.40000153,NA,NA,NA,NA
1,USA,1971,5.362,4.255928993,11.36757565,NA,NA,NA,NA,34.50862885
1,USA,1972,5.838,3.305614948,11.96715832,NA,NA,NA,NA,34.44429016
1,USA,1973,6.464,6.220064163,13.71356487,NA,NA,NA,NA,34.37520981
1,USA,1974,6.951,11.0352602,17.31613541,NA,NA,NA,NA,34.03606033
1,USA,1975,7.519,9.131930351,16.37969017,42.59999847,NA,NA,NA,33.22566986
1,USA,1976,8.3,5.737027168,16.87365913,NA,NA,NA,NA,33.760849
1,USA,1977,9.146,6.486460209,17.22059059,NA,NA,NA,NA,34.26464081
1,USA,1978,10.229,7.647463799,17.80619049,NA,NA,NA,NA,34.03723145
1,USA,1979,11.306,11.26603985,19.28054619,NA,NA,NA,NA,33.6264801
1,USA,1980,12.186,13.50936985,21.08157921,62.90000153,0.238839999,0.245680004,22.37599945,33.51438904
1,USA,1981,13.533,10.31552982,20.3632412,NA,NA,NA,NA,34.08827972
1,USA,1982,13.94,6.160615921,18.47162056,NA,NA,NA,NA,32.90969086
1,USA,1983,15.008,3.212435007,17.62430763,NA,NA,NA,NA,31.49721909
1,USA,1984,16.549,4.317268848,18.57701302,NA,NA,NA,NA,31.87277985
1,USA,1985,17.6,3.56111598,17.64240837,57.40000153,NA,NA,NA,30.86451912
1,USA,1986,18.439,1.858736038,17.95412445,NA,NA,NA,NA,29.44326019
1,USA,1987,19.407,3.740875959,19.11618614,NA,NA,NA,NA,29.19972992
1,USA,1988,20.711,4.009088039,20.33081818,NA,NA,NA,NA,29.60648918
1,USA,1989,22.047,4.827003002,20.73029327,NA,NA,NA,NA,28.61903954
1,USA,1990,23.064,5.397955894,21.18795013,44.40000153,NA,NA,NA,27.85032082
1,USA,1991,23.507,4.234963894,21.26634979,NA,NA,NA,NA,26.62005997
1,USA,1992,24.509,3.028820038,21.54220963,NA,NA,NA,NA,25.72842979
1,USA,1993,25.409,2.951657057,21.55764961,NA,NA,NA,NA,25.61001015
1,USA,1994,26.67,2.607441902,22.61821938,NA,NA,NA,NA,26.08295059
1,USA,1995,27.574,2.805419922,24.27397919,44.59999847,NA,NA,NA,26.29285049
1,USA,1996,28.814,2.931204081,24.58246994,NA,NA,NA,NA,25.78540039
1,USA,1997,30.262,2.337690115,25.59153938,NA,NA,NA,NA,25.3842907
1,USA,1998,31.519,1.552278996,24.69056892,NA,NA,NA,NA,25.01884079
1,USA,1999,33.028,2.188026905,NA,NA,NA,NA,NA,24.72504997
1,USA,2000,34.603,3.376857042,NA,39.59999847,NA,NA,NA,24.44348907
1,USA,2001,35.341,2.826170921,NA,NA,NA,NA,NA,23.04858017
1,USA,2002,36.18,1.586032033,NA,NA,NA,NA,NA,NA
1,USA,2003,37.548,2.27009511,NA,NA,NA,NA,NA,NA
2,UK,1960,2.158,NA,43.25547028,24.5,NA,NA,NA,NA
2,UK,1961,2.216,3.579417944,41.53324127,NA,NA,NA,NA,NA
2,UK,1962,2.276,4.103672028,40.40463257,NA,NA,NA,NA,NA
2,UK,1963,2.386,2.074688911,40.40658569,NA,NA,NA,NA,NA
2,UK,1964,2.534,3.211381912,40.5187645,NA,NA,NA,NA,NA
2,UK,1965,2.66,4.805040836,39.22533798,26.5,NA,NA,NA,NA
2,UK,1966,2.794,3.90830493,38.96463394,NA,NA,NA,NA,NA
2,UK,1967,2.923,2.423146009,39.31318665,NA,NA,NA,NA,NA
2,UK,1968,3.173,4.731637955,43.66513062,NA,NA,NA,NA,NA
2,UK,1969,3.391,5.461902142,44.03898239,NA,NA,NA,NA,NA
